p_value,strong,unilateral,weak,disconnected,scc_mean,edge_mean
0.4016,1000,1000,1000,0,1.0,3975.944
0.4026,1000,1000,1000,0,1.0,3986.473
0.4036,1000,1000,1000,0,1.0,3995.485
0.4046,1000,1000,1000,0,1.0,4005.033
0.4056,1000,1000,1000,0,1.0,4016.823
0.4066,1000,1000,1000,0,1.0,4024.015
0.4076,1000,1000,1000,0,1.0,4036.022
0.4086,1000,1000,1000,0,1.0,4046.079
0.4096,1000,1000,1000,0,1.0,4053.635
0.4106,1000,1000,1000,0,1.0,4064.995
0.4116,1000,1000,1000,0,1.0,4074.716
0.4126,1000,1000,1000,0,1.0,4084.439
0.4136,1000,1000,1000,0,1.0,4094.983
0.4146,1000,1000,1000,0,1.0,4106.958
0.4156,1000,1000,1000,0,1.0,4114.531
0.4166,1000,1000,1000,0,1.0,4124.552
0.4176,1000,1000,1000,0,1.0,4135.444
0.4186,1000,1000,1000,0,1.0,4143.49
0.4196,1000,1000,1000,0,1.0,4153.098
0.4206,1000,1000,1000,0,1.0,4163.227
0.4216,1000,1000,1000,0,1.0,4176.591
0.4226,1000,1000,1000,0,1.0,4184.148
0.4236,1000,1000,1000,0,1.0,4195.189
0.4246,1000,1000,1000,0,1.0,4202.074
0.4256,1000,1000,1000,0,1.0,4216.767
0.4266,1000,1000,1000,0,1.0,4220.088
0.4276,1000,1000,1000,0,1.0,4231.98
0.4286,1000,1000,1000,0,1.0,4242.532
0.4296,1000,1000,1000,0,1.0,4253.009
0.4306,1000,1000,1000,0,1.0,4260.597
0.4316,1000,1000,1000,0,1.0,4273.019
0.4326,1000,1000,1000,0,1.0,4281.968
0.4336,1000,1000,1000,0,1.0,4292.675
0.4346,1000,1000,1000,0,1.0,4301.985
0.4356,1000,1000,1000,0,1.0,4312.336
0.4366,1000,1000,1000,0,1.0,4323.35
0.4376,1000,1000,1000,0,1.0,4330.295
0.4386,1000,1000,1000,0,1.0,4341.617
0.4396,1000,1000,1000,0,1.0,4351.482
0.4406,1000,1000,1000,0,1.0,4364.305
0.4416,1000,1000,1000,0,1.0,4372.604
0.4426,1000,1000,1000,0,1.0,4381.04
0.4436,1000,1000,1000,0,1.0,4390.01
0.4446,1000,1000,1000,0,1.0,4402.055
0.4456,1000,1000,1000,0,1.0,4410.111
0.4466,1000,1000,1000,0,1.0,4420.61
0.4476,1000,1000,1000,0,1.0,4428.395
0.4486,1000,1000,1000,0,1.0,4439.912
0.4496,1000,1000,1000,0,1.0,4451.07
0.4505,1000,1000,1000,0,1.0,4459.76
0.4515,1000,1000,1000,0,1.0,4469.077
0.4525,1000,1000,1000,0,1.0,4479.551
0.4535,1000,1000,1000,0,1.0,4488.218
0.4545,1000,1000,1000,0,1.0,4496.582
0.4555,1000,1000,1000,0,1.0,4510.717
0.4565,1000,1000,1000,0,1.0,4518.085
0.4575,1000,1000,1000,0,1.0,4529.188
0.4585,1000,1000,1000,0,1.0,4538.603
0.4595,1000,1000,1000,0,1.0,4547.34
0.4605,1000,1000,1000,0,1.0,4556.573
0.4615,1000,1000,1000,0,1.0,4568.304
0.4625,1000,1000,1000,0,1.0,4576.194
0.4635,1000,1000,1000,0,1.0,4590.676
0.4645,1000,1000,1000,0,1.0,4599.414
0.4655,1000,1000,1000,0,1.0,4609.0
0.4665,1000,1000,1000,0,1.0,4619.219
0.4675,1000,1000,1000,0,1.0,4629.374
0.4685,1000,1000,1000,0,1.0,4635.387
0.4695,1000,1000,1000,0,1.0,4650.354
0.4705,1000,1000,1000,0,1.0,4657.04
0.4715,1000,1000,1000,0,1.0,4664.678
0.4725,1000,1000,1000,0,1.0,4680.024
0.4735,1000,1000,1000,0,1.0,4687.655
0.4745,1000,1000,1000,0,1.0,4698.607
0.4755,1000,1000,1000,0,1.0,4707.724
0.4765,1000,1000,1000,0,1.0,4715.57
0.4775,1000,1000,1000,0,1.0,4724.838
0.4785,1000,1000,1000,0,1.0,4734.973
0.4795,1000,1000,1000,0,1.0,4748.321
0.4805,1000,1000,1000,0,1.0,4759.031
0.4815,1000,1000,1000,0,1.0,4765.148
0.4825,1000,1000,1000,0,1.0,4773.977
0.4835,1000,1000,1000,0,1.0,4788.111
0.4845,1000,1000,1000,0,1.0,4798.266
0.4855,1000,1000,1000,0,1.0,4806.261
0.4865,1000,1000,1000,0,1.0,4811.491
0.4875,1000,1000,1000,0,1.0,4824.475
0.4885,1000,1000,1000,0,1.0,4836.503
0.4895,1000,1000,1000,0,1.0,4845.976
0.4905,1000,1000,1000,0,1.0,4855.694
0.4915,1000,1000,1000,0,1.0,4865.773
0.4925,1000,1000,1000,0,1.0,4877.398
0.4935,1000,1000,1000,0,1.0,4884.91
0.4945,1000,1000,1000,0,1.0,4893.199
0.4955,1000,1000,1000,0,1.0,4906.699
0.4965,1000,1000,1000,0,1.0,4917.443
0.4975,1000,1000,1000,0,1.0,4925.327
0.4985,1000,1000,1000,0,1.0,4933.806
0.4995,1000,1000,1000,0,1.0,4945.501
0.5005,1000,1000,1000,0,1.0,4951.663
0.5015,1000,1000,1000,0,1.0,4966.026
0.5025,1000,1000,1000,0,1.0,4974.516
0.5035,1000,1000,1000,0,1.0,4981.049
0.5045,1000,1000,1000,0,1.0,4993.161
0.5055,1000,1000,1000,0,1.0,5008.198
0.5065,1000,1000,1000,0,1.0,5015.956
0.5075,1000,1000,1000,0,1.0,5024.926
0.5085,1000,1000,1000,0,1.0,5032.886
0.5095,1000,1000,1000,0,1.0,5044.171
0.5105,1000,1000,1000,0,1.0,5055.588
0.5115,1000,1000,1000,0,1.0,5067.618
0.5125,1000,1000,1000,0,1.0,5073.469
0.5135,1000,1000,1000,0,1.0,5085.021
0.5145,1000,1000,1000,0,1.0,5096.469
0.5155,1000,1000,1000,0,1.0,5102.865
0.5165,1000,1000,1000,0,1.0,5114.103
0.5175,1000,1000,1000,0,1.0,5123.714
0.5185,1000,1000,1000,0,1.0,5134.615
0.5195,1000,1000,1000,0,1.0,5143.073
0.5205,1000,1000,1000,0,1.0,5155.321
0.5215,1000,1000,1000,0,1.0,5161.899
0.5225,1000,1000,1000,0,1.0,5175.098
0.5235,1000,1000,1000,0,1.0,5183.023
0.5245,1000,1000,1000,0,1.0,5191.597
0.5255,1000,1000,1000,0,1.0,5201.765
0.5265,1000,1000,1000,0,1.0,5212.127
0.5275,1000,1000,1000,0,1.0,5219.751
0.5285,1000,1000,1000,0,1.0,5233.756
0.5295,1000,1000,1000,0,1.0,5240.662
0.5305,1000,1000,1000,0,1.0,5252.41
0.5315,1000,1000,1000,0,1.0,5262.653
0.5325,1000,1000,1000,0,1.0,5272.173
0.5335,1000,1000,1000,0,1.0,5281.285
0.5345,1000,1000,1000,0,1.0,5291.557
0.5355,1000,1000,1000,0,1.0,5301.266
0.5365,1000,1000,1000,0,1.0,5308.701
0.5375,1000,1000,1000,0,1.0,5324.076
0.5385,1000,1000,1000,0,1.0,5330.377
0.5395,1000,1000,1000,0,1.0,5340.181
0.5405,1000,1000,1000,0,1.0,5352.462
0.5415,1000,1000,1000,0,1.0,5361.694
0.5425,1000,1000,1000,0,1.0,5367.938
0.5435,1000,1000,1000,0,1.0,5381.329
0.5445,1000,1000,1000,0,1.0,5390.351
0.5455,1000,1000,1000,0,1.0,5399.787
0.5465,1000,1000,1000,0,1.0,5407.943
0.5475,1000,1000,1000,0,1.0,5419.19
0.5485,1000,1000,1000,0,1.0,5431.333
0.5495,1000,1000,1000,0,1.0,5442.938
0.5504,1000,1000,1000,0,1.0,5449.112
0.5514,1000,1000,1000,0,1.0,5458.22
0.5524,1000,1000,1000,0,1.0,5470.786
0.5534,1000,1000,1000,0,1.0,5479.434
0.5544,1000,1000,1000,0,1.0,5488.515
0.5554,1000,1000,1000,0,1.0,5496.77
0.5564,1000,1000,1000,0,1.0,5507.426
0.5574,1000,1000,1000,0,1.0,5520.298
0.5584,1000,1000,1000,0,1.0,5528.563
0.5594,1000,1000,1000,0,1.0,5540.259
0.5604,1000,1000,1000,0,1.0,5547.959
0.5614,1000,1000,1000,0,1.0,5557.194
0.5624,1000,1000,1000,0,1.0,5566.924
0.5634,1000,1000,1000,0,1.0,5576.213
0.5644,1000,1000,1000,0,1.0,5589.178
